名称 (Name),详情链接 (Link),图片链接 (Image),目 (Order),科 (Family),属 (Genus)
约氏鹦鹉 / Josephine’s Lorikeet / Charmosyna josefinae,https://www.huaniao8.com/niao/85326.html,https://hn8i.7img.cn/Mjk4Njg0OWVkZTg4OGZmZjU1MGMwNzAzMDQ1Mzk2NWIvMjUwLzMyMC8xZmZh.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Charmosyna
黄头鹦鹉 / Yellow-fronted Parrot / Poicephalus flavifrons,https://www.huaniao8.com/niao/85346.html,https://hn8i.7img.cn/OTQyMjY3NjcwZTJkMDY3NzhkNzM2OGM3NWJhYjEzZTUvMjUwLzMyMC9jNzhk.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Poicephalus
橙胸鹦哥 / Sulphur-breasted Parakeet / Aratinga maculata,https://www.huaniao8.com/niao/85393.html,https://hn8i.7img.cn/ODg2OWMyYzljMDEwOTFjYzIyMWQwN2U0MTBkMjBjOTQvMjUwLzMyMC85ZjIy.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Aratinga
黄纹绿鹦鹉 / Yellowish-streaked Lory / Chalcopsitta scintillata,https://www.huaniao8.com/niao/85252.html,https://hn8i.7img.cn/YjJiZWNjODc0YmQwYjExZjlmMmQ4NTYwODNhMDBiM2YvMjUwLzMyMC83ZTUz.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Chalcopsitta
蓝翅鹦哥 / Blue-winged Parrotlet / Forpus xanthopterygius,https://www.huaniao8.com/niao/85466.html,https://hn8i.7img.cn/ZWFlYjVmYTUxYjNiZTM1OGU4NzM1NjdkOGQwODY3MzAvMjUwLzMyMC9jMTIw.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Forpus
长嘴黑凤头鹦鹉 / Baudin’s Black Cockatoo / Zanda baudinii,https://www.huaniao8.com/niao/85596.html,https://hn8i.7img.cn/YzMzNGRkMjQxMjIyOThlNzllNmU1N2E2NjlkNDUyNzcvMjUwLzMyMC8xNzU5.jpg,鹦形目 / Psittaciformes,凤头鹦鹉科 / Cockatoos / Cacatuidae,Zanda
红胸鹦哥 / Vinaceous-breasted Amazon / Amazona vinacea,https://www.huaniao8.com/niao/85510.html,https://hn8i.7img.cn/ZGY2YjdlMGFmYTk0MmI3N2U2NGUyYzhmZDljOTUzMDIvMjUwLzMyMC85ZmJi.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Amazona
波多黎各鹦鹉 / Puerto Rican Parakeet / Psittacara maugei,https://www.huaniao8.com/niao/85543.html,https://hn8i.7img.cn/YzhjNzFiMWJmNzU3ZGU4ZTEwNzI2Yjc2OWYzY2ZlNDAvMjUwLzMyMC9jZmJl.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Psittacara
菲律宾短尾鹦鹉 / Philippine Hanging Parrot / Loriculus philippensis,https://www.huaniao8.com/niao/85414.html,https://hn8i.7img.cn/OGQ1NWZkZjA1M2JmZjBhMGEyYzM5ODgwYjUxZjU2NjkvMjUwLzMyMC8zNjI0.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Loriculus
红翅鹦鹉 / Red-winged Parrot / Aprosmictus erythropterus,https://www.huaniao8.com/niao/85239.html,https://hn8i.7img.cn/NDZjY2UyMDAxYTMwZWRlMzNjMmRlNTljZTI4MzlmMjEvMjUwLzMyMC9mZTE1.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Aprosmictus
